id_subject,control,group,group_code,id_partner,id_dyad,session,day,assistant,phrase,phrase_type,phrase_sign,phrase_number,phrase_age,answer_chequeado,phrase_order,answer_1,confidence_1,answer_dyad,answer_3,confidence_3,dialogue,no_agreement,revision,score_1,score_dyad,score_3,subject_type,age,gender,educ,religion,football,patriot,vegetarian,sport,crt_1_ans,crt_2_ans,crt_3_ans,crt_4_ans,crt_5_ans,crt_6_ans,crt_7_ans,crt_8_ans,type_dyad,heterogeneous_dyad,mixed_dyad,phrase_concordant,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,crt_8,crt_score
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,1,KV,K,0,1,V,1,V,5,V,V,5,0,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,0,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,2,KF,K,1,8,F,2,F,3,F,F,4,1,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,0,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,3,MV,M,1,0,V,3,F,4,,F,3,1,1,0,0,0,0,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,4,KF,K,0,6,F,4,F,5,F,F,5,0,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,0,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,5,MF,M,0,4,F,5,F,1,V,V,4,1,0,1,1,0,0,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,6,KF,K,0,12,F,6,F,4,F,F,4,0,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,0,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,7,MV,M,0,14,V,7,V,3,F,F,4,1,0,1,1,0,0,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,8,MV,M,0,2,V,8,V,4,V,V,4,0,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,9,MF,M,0,5,F,9,V,4,V,V,4,0,0,0,0,0,0,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,10,MF,M,1,10,F,10,V,4,V,V,4,0,0,0,0,0,0,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,11,MV,M,1,5,V,11,V,1,V,V,1,0,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,12,MV,M,0,9,V,12,V,3,V,V,4,1,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,13,MF,M,0,7,F,13,F,4,F,F,3,1,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,14,KV,K,0,4,V,14,F,1,V,V,3,1,0,1,0,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,0,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,15,KF,K,0,10,F,15,F,4,F,F,4,1,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,0,1,1,1,1,1,0,1,0,0.75
1,0,Homogeneous,0,[1443.07206795],1,1,tuesday,Fede,16,MF,M,0,6,F,16,F,5,F,F,5,0,0,0,1,1,1,M,25,Mujer,Posgrado Incompleto,Poco importante,Poco importante,Sí,No,1 o 2,2,3,47,15,8,1000,50,15,MM,0,0,1,1,1,1,1,1,0,1,0,0.75
