groupsize,type,score
1,1,0.8
1,1,0.65
1,1,0.7
1,1,0.55
1,1,0.55
1,1,0.7
1,1,0.85
1,1,0.75
1,1,0.6
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.85
1,1,0.7
1,1,0.6
1,1,0.55
1,1,0.75
1,1,0.4
1,1,0.7
1,1,0.5
1,1,0.65
1,1,0.9
1,1,0.7
1,1,0.85
1,1,0.7
1,1,0.9
1,1,0.75
1,1,0.7
1,1,0.55
1,1,0.7
1,1,0.75
1,1,0.85
1,1,0.55
1,1,0.7
1,1,0.8
1,1,0.85
1,1,0.7
1,1,0.65
1,1,0.55
1,1,0.8
1,1,0.45
1,1,0.65
1,1,0.75
1,1,0.75
1,1,0.8
1,1,0.8
1,1,0.6
1,1,0.7
1,1,0.55
1,1,0.75
1,1,0.65
1,1,0.85
1,1,0.7
1,1,0.6
1,1,0.55
1,1,0.75
1,1,0.85
1,1,0.65
1,1,0.65
1,1,0.5
1,1,0.65
1,1,0.8
1,1,0.65
1,1,0.45
1,1,0.8
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.55
1,1,0.65
1,1,0.55
1,1,0.8
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.55
1,1,0.6
1,1,0.75
1,1,0.6
1,1,0.6
1,1,0.75
1,1,0.8
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.65
1,1,0.8
1,1,0.85
1,1,0.65
1,1,0.55
1,1,0.55
1,1,0.55
1,1,0.75
1,1,0.65
1,1,0.65
1,1,0.55
1,1,0.6
1,1,0.6
1,1,0.75
1,1,0.9
1,1,0.85
1,1,0.6
1,1,0.6
1,1,0.65
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.5
1,1,0.55
1,1,0.65
1,1,0.7
1,1,0.55
1,1,0.75
1,1,0.8
1,1,0.85
1,1,0.65
1,1,0.85
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.55
1,1,0.5
1,1,0.65
1,1,0.65
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.6
1,1,0.7
1,1,0.75
1,1,0.65
1,1,0.75
1,1,0.55
1,1,0.75
1,1,0.75
1,1,0.75
1,1,0.75
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.7
1,1,0.7
1,1,0.75
1,1,0.75
1,1,0.85
1,1,0.6
1,1,0.6
1,1,0.6
1,1,0.75
1,1,0.7
1,1,0.55
1,1,0.7
1,1,0.55
1,1,0.7
1,1,0.5
1,1,0.6
1,1,0.7
1,1,0.85
1,1,0.5
1,1,0.65
1,1,0.7
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.55
1,1,0.45
1,1,0.75
1,1,0.65
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.6
1,1,0.6
1,1,0.55
1,1,0.5
1,1,0.75
1,1,0.7
1,1,0.65
1,1,0.55
1,1,0.6
1,1,0.75
1,1,0.6
1,1,0.6
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.8
1,1,0.7
1,1,0.85
1,1,0.85
1,1,0.5
1,1,0.35
1,1,0.75
1,1,0.65
1,1,0.6
1,1,0.5
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.65
1,1,0.75
1,1,0.75
1,1,0.65
1,1,0.85
1,1,0.65
1,1,0.7
1,1,0.6
1,1,0.7
1,1,0.7
1,1,0.65
1,1,0.55
1,1,0.75
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.7
1,1,0.8
1,1,0.6
1,1,0.6
1,1,0.55
1,1,0.65
1,1,0.75
1,1,0.7
1,1,0.7
1,1,0.6
1,1,0.7
1,1,0.75
1,1,0.9
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.8
1,1,0.7
1,1,0.75
1,1,0.75
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.7
1,1,0.65
1,1,0.75
1,1,0.7
1,1,0.7
1,1,0.65
1,1,0.55
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.5
1,1,0.7
1,1,0.85
1,1,0.5
1,1,0.6
1,1,0.6
1,1,0.45
1,1,0.55
1,1,0.7
1,1,0.7
1,1,0.6
1,1,0.7
1,1,0.55
1,1,0.7
1,1,0.5
1,1,0.6
1,1,0.65
1,1,0.7
1,1,0.6
1,1,0.75
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.85
1,1,0.7
1,1,0.45
1,1,0.6
1,1,0.8
1,1,0.6
1,1,0.75
1,1,0.7
1,1,0.55
1,1,0.65
1,1,0.65
1,1,0.6
1,1,0.55
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.55
1,1,0.75
1,1,0.7
1,1,0.7
1,1,0.8
1,1,0.8
1,1,0.8
1,1,0.75
1,1,0.75
1,1,0.6
1,1,0.65
1,1,0.8
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.65
1,1,0.55
1,1,0.75
1,1,0.55
1,1,0.65
1,1,0.5
1,1,0.7
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.85
1,1,0.7
1,1,0.65
1,1,0.7
1,1,0.65
1,1,0.85
1,1,0.75
1,1,0.75
1,1,0.8
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.75
1,1,0.55
1,1,0.45
1,1,0.6
1,1,0.65
1,1,0.6
1,1,0.6
1,1,0.8
1,1,0.65
1,1,0.6
1,1,0.6
1,1,0.65
1,1,0.7
1,1,0.8
1,1,0.7
1,1,0.7
1,1,0.6
1,1,0.7
1,1,0.55
1,1,0.75
1,1,0.85
1,1,0.5
1,1,0.5
1,1,0.7
1,1,0.6
1,1,0.65
1,1,0.65
1,1,0.55
1,1,0.7
1,1,0.7
1,1,0.75
1,1,0.65
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.65
1,1,0.85
1,1,0.45
1,1,0.75
1,1,0.65
1,1,0.85
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.7
1,1,0.6
1,1,0.7
1,1,0.65
1,1,0.6
1,1,0.65
1,1,0.85
1,1,0.8
1,1,0.65
1,1,0.7
1,1,0.75
1,1,0.65
1,1,0.55
1,1,0.6
1,1,0.75
1,1,0.55
1,1,0.65
1,1,0.75
1,1,0.55
1,1,0.6
1,1,0.75
1,1,0.65
1,1,0.6
1,1,0.75
1,1,0.8
1,1,0.75
1,1,0.75
1,1,0.6
1,1,0.75
1,1,0.7
1,1,0.5
1,1,0.75
1,1,0.75
1,1,0.6
1,1,0.6
1,1,0.7
1,1,0.75
1,1,0.65
1,1,0.55
1,1,0.75
1,1,0.7
1,1,0.55
1,1,0.6
1,1,0.7
1,1,0.6
1,1,0.7
1,1,0.75
1,1,0.65
1,1,0.55
1,1,0.65
1,1,0.65
1,1,0.6
1,1,0.65
1,1,0.55
1,1,0.7
1,1,0.65
1,1,0.6
1,1,0.6
1,1,0.65
1,1,0.75
1,1,0.5
1,1,0.8
1,1,0.7
1,1,0.75
1,1,0.8
1,1,0.55
1,1,0.7
1,1,0.8
1,1,0.7
1,1,0.55
1,1,0.65
1,1,0.8
1,1,0.7
1,1,0.6
1,1,0.55
1,1,0.55
1,1,0.8
1,1,0.6
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.65
1,1,0.6
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.75
1,1,0.55
1,1,0.55
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.85
1,1,0.8
1,1,0.75
1,1,0.6
1,1,0.75
1,1,0.5
1,1,0.65
1,1,0.55
1,1,0.85
1,1,0.75
1,1,0.8
1,1,0.85
1,1,0.8
1,1,0.75
1,1,0.7
1,1,0.7
1,1,0.6
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.65
1,1,0.7
1,1,0.55
1,1,0.9
1,1,0.75
1,1,0.6
1,1,0.5
1,1,0.8
1,1,0.35
1,1,0.75
1,1,0.7
1,1,0.65
1,1,0.8
1,1,0.75
1,1,0.5
1,1,0.65
1,1,0.65
1,1,0.8
1,1,0.6
1,1,0.8
1,1,0.7
1,1,0.75
1,1,0.45
1,1,0.75
1,1,0.75
1,1,0.65
1,1,0.65
1,1,0.65
1,1,0.6
1,1,0.8
1,1,0.6
1,1,0.7
1,1,0.85
1,1,0.8
1,1,0.55
1,1,0.75
1,1,0.7
1,1,0.8
1,1,0.75
1,1,0.8
1,1,0.7
1,1,0.7
1,1,0.6
1,1,0.85
1,1,0.6
1,1,0.65
1,1,0.65
1,1,0.75
1,1,0.8
1,1,0.6
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.8
1,1,0.65
1,1,0.7
1,1,0.65
1,1,0.75
1,1,0.7
1,1,0.65
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.7
1,1,0.65
1,1,0.6
1,1,0.85
1,1,0.7
1,1,0.6
1,1,0.8
1,1,0.8
1,1,0.6
1,1,0.8
1,1,0.75
1,1,0.85
1,1,0.85
1,1,0.9
1,1,0.7
1,1,0.55
1,1,0.75
1,1,0.75
1,1,0.6
1,1,0.7
1,1,0.55
1,1,0.65
1,1,0.7
1,1,0.55
1,1,0.65
1,1,0.5
1,1,0.55
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.75
1,1,0.75
1,1,0.7
1,1,0.75
1,1,0.6
1,1,0.6
1,1,0.8
1,1,0.75
1,1,0.85
1,1,0.75
1,1,0.75
1,1,0.75
1,1,0.75
1,1,0.7
1,1,0.8
1,1,0.65
1,1,0.75
1,1,0.55
1,1,0.6
1,1,0.75
1,1,0.7
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.9
1,1,0.6
1,1,0.75
1,1,0.65
1,1,0.8
1,1,0.6
1,1,0.6
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.65
1,1,0.7
1,1,0.5
1,1,0.7
1,1,0.55
1,1,0.8
1,1,0.75
1,1,0.7
1,1,0.6
1,1,0.7
1,1,0.55
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.65
1,1,0.45
1,1,0.6
1,1,0.7
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.6
1,1,0.55
1,1,0.6
1,1,0.75
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.65
1,1,0.75
1,1,0.8
1,1,0.65
1,1,0.65
1,1,0.45
1,1,0.75
1,1,0.65
1,1,0.85
1,1,0.9
1,1,0.7
1,1,0.75
1,1,0.8
1,1,0.7
1,1,0.7
1,1,0.6
1,1,0.85
1,1,0.65
1,1,0.55
1,1,0.65
1,1,0.6
1,1,0.6
1,1,0.7
1,1,0.6
1,1,0.65
1,1,0.75
1,1,0.7
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.55
1,1,0.75
1,1,0.6
1,1,0.55
1,1,0.8
1,1,0.65
1,1,0.7
1,1,0.8
1,1,0.8
1,1,0.75
1,1,0.8
1,1,0.75
1,1,0.85
1,1,0.65
1,1,0.75
1,1,0.7
1,1,0.85
1,1,0.45
1,1,0.7
1,1,0.6
1,1,0.85
1,1,0.9
1,1,0.7
1,1,0.75
1,1,0.75
1,1,0.55
1,1,0.6
1,1,0.6
1,1,0.9
1,1,0.7
1,1,0.6
1,1,0.55
1,1,0.65
1,1,0.7
1,1,0.65
1,1,0.8
1,1,0.85
1,1,0.55
1,1,0.55
1,1,0.75
1,1,0.7
1,1,0.5
1,1,0.75
1,1,0.75
1,1,0.8
1,1,0.6
1,1,0.6
1,1,0.5
1,1,0.75
1,1,0.8
1,1,0.7
1,1,0.75
1,1,0.65
1,1,0.75
1,1,0.35
1,1,0.7
1,1,0.55
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.75
1,1,0.7
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.8
1,1,0.75
1,1,0.5
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.7
1,1,0.75
1,1,0.5
1,1,0.7
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.7
1,1,0.7
1,1,0.4
1,1,0.75
1,1,0.6
1,1,0.65
1,1,0.65
1,1,0.6
1,1,0.65
1,1,0.7
1,1,0.7
1,1,0.5
1,1,0.85
1,1,0.65
1,1,0.75
1,1,0.7
1,1,0.8
1,1,0.75
1,1,0.6
1,1,0.4
1,1,0.6
1,1,0.65
1,1,0.65
1,1,0.7
1,1,0.75
1,1,0.55
1,1,0.55
1,1,0.65
1,1,0.7
1,1,0.65
1,1,0.85
1,1,0.85
1,1,0.8
1,1,0.6
1,1,0.6
1,1,0.7
1,1,0.7
1,1,0.8
1,1,0.65
1,1,0.55
1,1,0.65
1,1,0.8
1,1,0.65
1,1,0.6
1,1,0.7
1,1,0.65
1,1,0.55
1,1,0.85
1,1,0.8
1,1,0.65
1,1,0.7
1,1,0.55
1,1,0.7
1,1,0.6
1,1,0.8
1,1,0.85
1,1,0.7
1,1,0.5
1,1,0.8
1,1,0.7
1,1,0.8
1,1,0.75
1,1,0.65
1,1,0.55
1,1,0.6
1,1,0.6
1,1,0.7
